scenario,cust_bill_C01_mean,cust_bill_C01_std,cust_bill_C02_mean,cust_bill_C02_std,cust_bill_C03_mean,cust_bill_C03_std,cust_bill_C04_mean,cust_bill_C04_std,cust_bill_C05_mean,cust_bill_C05_std,cust_bill_C06_mean,cust_bill_C06_std,cust_bill_C07_mean,cust_bill_C07_std,cust_bill_C08_mean,cust_bill_C08_std,cust_bill_C09_mean,cust_bill_C09_std,cust_bill_C10_mean,cust_bill_C10_std,cust_bill_C11_mean,cust_bill_C11_std,cust_bill_C12_mean,cust_bill_C12_std,cust_solar_bill_C01_mean,cust_solar_bill_C01_std,cust_solar_bill_C02_mean,cust_solar_bill_C02_std,cust_solar_bill_C03_mean,cust_solar_bill_C03_std,cust_solar_bill_C04_mean,cust_solar_bill_C04_std,cust_solar_bill_C05_mean,cust_solar_bill_C05_std,cust_solar_bill_C06_mean,cust_solar_bill_C06_std,cust_solar_bill_C07_mean,cust_solar_bill_C07_std,cust_solar_bill_C08_mean,cust_solar_bill_C08_std,cust_solar_bill_C09_mean,cust_solar_bill_C09_std,cust_solar_bill_C10_mean,cust_solar_bill_C10_std,cust_solar_bill_C11_mean,cust_solar_bill_C11_std,cust_solar_bill_C12_mean,cust_solar_bill_C12_std,cust_total$_C01_mean,cust_total$_C01_std,cust_total$_C02_mean,cust_total$_C02_std,cust_total$_C03_mean,cust_total$_C03_std,cust_total$_C04_mean,cust_total$_C04_std,cust_total$_C05_mean,cust_total$_C05_std,cust_total$_C06_mean,cust_total$_C06_std,cust_total$_C07_mean,cust_total$_C07_std,cust_total$_C08_mean,cust_total$_C08_std,cust_total$_C09_mean,cust_total$_C09_std,cust_total$_C10_mean,cust_total$_C10_std,cust_total$_C11_mean,cust_total$_C11_std,cust_total$_C12_mean,cust_total$_C12_std
163,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
